MONTH,MonthlyGTMaximumDryBulbTemperature,MonthlyGTMinimumDryBulbTemperature
1.0,35.03225806451613,13.419354838709678
2.0,35.857142857142854,13.678571428571429
3.0,53.83870967741935,27.903225806451612
4.0,65.1,40.8
5.0,71.45161290322581,46.38709677419355
6.0,78.76666666666667,56.166666666666664
7.0,89.58064516129032,64.61290322580645
8.0,89.74193548387096,63.61290322580645
9.0,76.66666666666667,47.03333333333333
10.0,70.06451612903226,40.41935483870968
11.0,47.689655172413794,27.0
12.0,39.3,22.166666666666668
