MONTH,MonthlyGTMaximumDryBulbTemperature,MonthlyGTMinimumDryBulbTemperature
1.0,27.161290322580644,7.838709677419355
2.0,30.5,5.642857142857143
3.0,44.903225806451616,21.483870967741936
4.0,60.766666666666666,33.6
5.0,70.29032258064517,42.774193548387096
6.0,79.14285714285714,51.67857142857143
7.0,84.3225806451613,59.45161290322581
8.0,88.45161290322581,60.193548387096776
9.0,75.43333333333334,48.13333333333333
10.0,64.7741935483871,36.064516129032256
11.0,46.5,27.933333333333334
12.0,37.766666666666666,20.2
