MONTH,MonthlyGTMaximumDryBulbTemperature,MonthlyGTMinimumDryBulbTemperature
1.0,21.483870967741936,4.645161290322581
2.0,19.821428571428573,0.10714285714285714
3.0,30.032258064516128,14.806451612903226
4.0,42.63333333333333,26.833333333333332
5.0,56.38709677419355,36.903225806451616
6.0,59.3,41.0
7.0,66.73333333333333,48.36666666666667
8.0,72.12903225806451,56.225806451612904
9.0,63.0,48.3
10.0,50.193548387096776,35.45161290322581
11.0,37.38461538461539,25.76923076923077
12.0,30.952380952380953,16.428571428571427
