MONTH,MonthlyGTMaximumDryBulbTemperature,MonthlyGTMinimumDryBulbTemperature
1.0,35.16129032258065,15.67741935483871
2.0,35.892857142857146,15.071428571428571
3.0,53.064516129032256,29.225806451612904
4.0,63.9,41.733333333333334
5.0,70.3225806451613,46.903225806451616
6.0,77.83333333333333,56.86666666666667
7.0,90.87096774193549,66.09677419354838
8.0,89.6774193548387,64.35483870967742
9.0,75.6896551724138,49.724137931034484
10.0,69.29032258064517,42.61290322580645
11.0,46.0,27.857142857142858
12.0,38.8,23.066666666666666
