MONTH,MonthlyMaximumTemperature,MonthlyMinimumTemperature
1,21.5,4.6
2,19.8,0.1
3,30.0,14.8
4,46.6,30.4
5,56.4,36.9
6,59.3,41.0
7,66.7,48.4
8,72.1,56.2
9,63.0,48.3
10,50.2,35.5
