MONTH,MonthlyMaximumTemperature,MonthlyMinimumTemperature
1,22.5,4.1
2,22.5,1.6
3,40.5,15.3
4,58.4,32.4
5,66.9,42.2
6,75.2,54.1
7,84.0,60.4
8,84.0,60.2
9,71.1,45.8
10,44.4,30.2
11,35.9,20.8
