MONTH,MonthlyMaximumTemperature,MonthlyMinimumTemperature
1,35.2,15.7
2,35.9,15.1
3,53.0,29.2
4,63.9,41.7
5,70.3,47.0
6,77.8,56.9
7,90.8,66.1
8,89.7,64.3
9,75.7,49.8
10,69.2,42.7
11,46.1,27.8
