MONTH,MonthlyMaximumTemperature,MonthlyMinimumTemperature
1,35.0,13.4
2,35.9,13.7
3,53.9,27.9
4,65.2,40.8
5,71.5,46.4
6,78.8,56.2
7,89.6,64.6
8,89.7,63.6
9,76.6,47.0
10,70.0,40.4
11,47.6,27.0
